Iteration,bazel abiChange,bazel nonAbiChange,Gradle 8.2.1 abiChange,Gradle 8.2.1 nonAbiChange,Gradle 8.3-rc-3 abiChange,Gradle 8.3-rc-3 nonAbiChange
1,10979.92,1894.59,17874.44,6666.87,22524.76,5638.78
2,10988.31,1762.76,17719.49,6646.93,20325.38,5599.8
3,11383.15,2694.25,17698.6,6615.41,12758.25,5612.62
4,12152.5,2522.25,17684.91,6592.76,13065.56,5534.29
5,10562.05,2559.52,17317.97,6601.01,12805.8,5567.59
6,14066.3,3272.17,17536.17,6637.43,13091.45,5543.38
7,16830.8,1789.15,18045.62,6604.16,12670.04,5578.85
8,9750.21,2039.17,17590.84,6886.57,12555.12,5565.04
9,9230.08,1763.96,17773.97,15034.7,12828.7,5653.46
10,9850.1,1667.44,17520.82,10488.91,12576.8,5508.32
